Year,Net Sales ($MM),Operating Expenses ($MM),Operating Income ($MM),Company
2013,3108,2435,673,AWS
2014,4644,3984,660,AWS
2015,7880,6017,1863,AWS
2016,12219,9111,3108,AWS
2017,17459,13128,4331,AWS
2018,25655,18359,7296,AWS
2019,35026,25825,9201,AWS
2020,45370,31839,13531,AWS
2021,62202,43670,18532,AWS
2022,80096,57255,22841,AWS
2023,90757,66126,24631,AWS
2024,107556,67722,39834,AWS
2025,128725,83119,45606,AWS
2018,5838,10186,-4348,GCP
2019,8918,13563,-4645,GCP
2020,13059,18666,-5607,GCP
2021,19206,22305,-3099,GCP
2022,26280,28202,-1922,GCP
2023,33088,31372,1716,GCP
2024,37215,33292,3923,GCP
2025,45865,39631,6234,GCP
2014,20336,11890,8446,Microsoft
2015,23715,13844,9871,Microsoft
2016,25042,15684,9358,Microsoft
2017,27436,18317,9119,Microsoft
2018,32219,20695,11524,Microsoft
2019,38985,25065,13920,Microsoft
2020,48366,30042,18324,Microsoft
2021,60080,33954,26126,Microsoft
2022,75251,42530,32721,Microsoft
2023,79965,45260,34705,Microsoft
2024,96210,52902,43308,Microsoft
2025,111703,61123,50580,Microsoft
